date,open,high,low,close,volume,amount
2016-08-18,1.34,2.35,1.34,2.35,7400,247268.0
2016-08-19,2.96,2.96,2.96,2.96,500,18420.0
2016-08-22,3.63,3.63,3.63,3.63,2900,117508.0
2016-08-23,4.37,4.37,4.37,4.37,1100,49027.0
2016-08-24,5.19,5.19,5.19,5.19,4600,225538.0
2016-08-25,6.08,6.08,6.08,6.08,7200,386139.0
2016-08-26,7.06,7.06,7.06,7.06,5500,326260.0
2016-08-29,8.14,8.14,8.14,8.14,14000,915653.0
2016-08-30,9.33,9.33,9.33,9.33,15100,1085242.0
2016-08-31,10.64,10.64,10.64,10.64,28100,2215933.0
2016-09-01,12.08,12.08,12.08,12.08,12800,1112850.0
2016-09-02,13.66,13.66,13.66,13.66,69300,6622762.0
2016-09-05,15.4,15.4,15.4,15.4,69500,7307142.0
2016-09-06,17.32,17.32,17.32,17.32,54600,6313777.0
2016-09-07,19.43,19.43,19.43,19.43,136600,17376349.0
2016-09-08,21.74,21.74,21.74,21.74,174500,24410871.0
2016-09-09,24.29,24.29,24.29,24.29,181200,27883637.0
2016-09-12,27.1,27.1,27.1,27.1,4883100,826616928.0
2016-09-13,29.74,29.74,26.92,27.47,15950800,2822922752.0
2016-09-14,28.52,30.59,28.51,28.68,10411000,1887215104.0
2017-03-13,31.92,31.92,31.92,31.92,1811900,354712336.0
2017-03-14,35.49,35.49,35.49,35.49,103800,22363021.0
2017-03-15,39.42,39.42,38.16,39.42,5519600,1307287936.0
2017-03-16,39.96,42.69,38.71,41.05,8970900,2174609312.0
2017-03-17,40.62,40.81,36.57,37.21,7241100,1682976496.0
2017-03-20,36.36,37.75,35.19,35.58,3882600,849272192.0
2017-03-21,35.77,37.15,35.61,35.8,3291100,721964624.0
2017-03-22,35.06,38.27,34.88,37.88,4676100,1049851264.0
2017-03-23,37.89,38.26,33.72,33.74,5391800,1160365264.0
2017-03-24,33.24,34.86,33.24,33.86,2600300,539901216.0
2017-03-27,34.64,37.61,34.33,35.51,3309700,720911328.0
2017-03-28,35.51,38.34,34.95,37.27,3836300,859548560.0
2017-03-29,36.51,36.52,34.29,35.46,3015800,650137376.0
2017-03-30,36.34,37.61,35.59,37.04,3084100,684035568.0
2017-03-31,36.34,37.22,33.97,34.53,3051900,655617968.0
2017-04-05,33.59,34.5,32.15,33.79,2328800,473886144.0
2017-04-06,34.06,34.66,33.24,34.44,1600800,332613632.0
2017-04-07,34.15,36.84,33.61,35.43,2397200,517083888.0
2017-04-10,34.79,35.06,32.15,33.43,2579000,527932720.0
2017-04-12,32.15,32.68,29.72,29.72,3441800,648172752.0
2017-04-13,29.03,30.27,28.59,28.96,1531300,279153328.0
2017-04-14,28.97,29.38,28.38,28.67,829800,147937034.0
2017-04-17,26.32,28.88,26.32,28.78,1246000,217375017.0
2017-04-18,28.69,29.96,28.26,28.42,734300,132646213.0
2017-04-19,28.68,29.51,27.47,29.32,1086100,194274873.0
2017-04-20,29.24,29.9,28.53,29.07,969700,176309666.0
2017-04-21,29.59,29.59,27.75,28.12,825800,145637209.0
2017-04-24,27.79,28.59,26.91,28.14,652600,112914411.0
2017-04-25,28.14,28.68,27.85,28.06,584800,102675628.0
2017-04-26,27.85,31.24,27.85,31.23,1902600,352270576.0
2017-04-27,31.07,32.33,29.81,31.78,1352700,258467744.0
2017-04-28,33.24,34.1,32.19,32.34,2019900,408761312.0
2017-05-02,32.69,33.15,31.98,32.43,917600,182669698.0
2017-05-03,32.33,33.04,29.96,31.12,1285100,247491730.0
2017-05-04,31.07,31.24,30.45,30.76,644000,122265883.0
2017-05-05,30.78,31.33,30.31,30.87,797900,151315428.0
2017-05-08,30.65,32.51,30.51,31.55,1188200,231385209.0
2017-05-09,31.27,33.79,31.27,33.51,1748900,351449904.0
2017-05-10,33.34,34.72,32.55,33.0,1519600,311741824.0
2017-05-11,32.69,33.93,32.33,33.68,1159600,235332641.0
2017-05-12,33.7,33.96,30.78,31.72,2154900,422861424.0
2017-05-15,31.6,31.69,29.66,30.69,1351600,253539816.0
2017-05-16,31.02,32.58,30.05,32.5,1118400,215054625.0
2017-05-17,32.33,34.7,30.85,32.71,1825500,372495056.0
2017-05-18,32.37,33.23,31.97,32.57,1078700,215279771.0
2017-05-19,32.69,32.69,31.07,31.78,1163800,226571983.0
2017-05-22,31.98,32.71,30.83,30.91,1027500,99369888.0
2017-05-23,29.76,30.42,28.1,28.34,3056000,275853552.0
2017-05-24,28.05,29.29,27.84,28.82,1304000,115692254.0
2017-05-25,29.0,29.8,28.67,29.45,1597000,144441002.0
2017-05-26,29.27,29.51,28.16,28.63,1344100,119948794.0
2017-05-31,29.58,30.34,28.24,28.33,2498600,226493915.0
2017-06-01,28.22,29.42,28.05,28.17,1607100,143461984.0
2017-06-02,27.8,29.11,27.4,28.88,1623700,143152994.0
2017-06-05,29.26,30.29,29.15,29.24,1552700,141855665.0
2017-06-06,28.96,29.3,28.31,28.73,1520900,134970380.0
2017-06-07,28.85,29.98,28.85,29.73,2126700,193699058.0
2017-06-08,29.51,29.95,28.05,28.5,2286800,205376136.0
2017-06-09,28.37,29.06,28.08,28.69,907400,80469814.0
2017-06-12,28.41,28.6,25.46,25.46,4678400,384502848.0
2017-06-13,25.14,25.68,24.04,25.48,3433200,269890928.0
2017-06-14,25.18,25.56,24.61,25.22,1863300,147511961.0
2017-06-15,24.88,26.85,24.88,26.48,2411000,196881404.0
2017-06-16,26.36,26.87,26.05,26.12,1217200,100035353.0
2017-06-19,26.45,26.92,26.2,26.51,983600,81549608.0
2017-06-20,26.92,27.22,26.32,26.89,1495100,124694227.0
2017-06-21,26.89,27.03,26.48,26.68,935500,77859894.0
2017-06-22,26.88,27.0,23.68,24.5,3251700,262014207.0
2017-06-23,24.36,24.72,23.75,24.53,1756200,134464035.0
2017-06-26,24.3,25.49,24.23,25.3,2124000,166912303.0
2017-06-27,25.15,25.5,24.93,25.03,1347100,106909740.0
2017-06-28,24.96,25.14,24.48,24.71,842300,65567338.0
2017-06-29,24.77,25.47,24.63,24.84,1333200,105285073.0
2017-06-30,24.7,25.08,24.42,24.7,1314500,102433345.0
2017-07-03,24.77,27.32,24.65,26.98,2953200,243386671.0
2017-07-04,26.96,27.35,26.48,26.64,1380500,115544305.0
2017-07-05,26.78,27.16,26.42,26.85,1490500,124338628.0
2017-07-06,26.87,27.83,26.33,27.77,2526500,212702380.0
2017-07-07,27.73,30.09,27.42,29.66,4551800,407981296.0
2017-07-10,28.96,29.66,28.02,28.08,2413900,215061475.0
2017-07-11,27.73,28.5,27.43,27.99,1607300,139184988.0
2017-07-12,28.06,28.33,25.8,27.04,2091200,174849446.0
2017-07-13,26.8,27.53,26.32,26.58,2061700,171537049.0
2017-07-14,26.5,26.91,25.9,25.93,1746100,143189889.0
2017-07-17,25.29,25.63,23.38,23.6,2990300,230127327.0
2017-07-18,23.49,24.19,23.03,24.0,1446700,108604677.0
2017-07-19,23.32,23.86,21.23,23.11,3375200,243083271.0
2017-07-20,23.06,24.33,22.59,23.99,2234500,167035856.0
2017-07-21,24.31,25.05,24.02,24.31,2448800,188990297.0
2017-07-24,23.68,23.82,22.59,23.09,2376600,174547515.0
2017-07-25,23.13,23.21,22.15,22.63,1587900,113777332.0
