date,open,high,low,close,volume,amount
2019-07-22,88.83,94.73,63.83,72.45,58371500,4567833839.0
2019-07-23,67.55,76.41,67.53,71.66,23949900,1780579294.0
2019-07-24,71.66,74.08,70.03,73.41,21631700,1612059826.0
2019-07-25,72.53,77.51,72.13,75.53,24693800,1916209278.0
2019-07-26,74.31,74.31,67.83,69.21,16880600,1243613646.0
2019-07-29,68.53,72.43,68.43,72.11,15257800,1127169277.0
2019-07-30,71.93,73.43,69.83,72.63,15481500,1154317366.0
2019-07-31,72.51,76.03,72.01,74.8,18855400,1453620484.0
2019-08-01,73.54,78.03,73.13,77.33,21058500,1646639562.0
2019-08-02,75.53,86.67,75.15,81.4,31898700,2663795653.0
2019-08-05,82.03,83.44,76.83,83.19,24425700,2049282664.0
2019-08-06,81.53,87.48,71.33,76.23,28930500,2475195495.0
2019-08-07,77.78,79.03,72.86,76.66,16515800,1296415558.0
2019-08-08,76.83,81.42,75.56,76.02,15423100,1243544959.0
2019-08-09,76.53,76.53,72.23,72.36,13232600,1009877875.0
2019-08-12,72.03,72.83,69.24,70.83,9892900,723940257.0
2019-08-13,70.43,71.95,69.89,71.52,8098600,595376666.0
2019-08-14,72.38,73.5,71.53,71.94,8142900,610158049.0
2019-08-15,69.93,71.95,69.54,71.64,6360400,467034421.0
2019-08-16,72.19,73.02,71.2,71.71,5976300,445710462.0
2019-08-19,72.13,73.99,71.05,73.29,9098600,682745053.0
2019-08-20,73.23,73.92,72.22,72.51,5816900,439399528.0
2019-08-21,72.22,72.41,67.66,68.23,10493900,755776092.0
2019-08-22,68.28,70.08,67.54,68.38,5980700,426909588.0
2019-08-23,68.52,68.85,64.19,64.87,10258700,702120888.0
2019-08-26,64.28,65.92,64.28,65.53,4620900,312819008.0
2019-08-27,66.15,67.03,65.35,66.59,5369400,369195929.0
2019-08-28,66.33,67.18,65.14,65.49,4321700,295868067.0
2019-08-29,65.5,68.86,64.53,68.22,8956300,624264622.0
2019-08-30,68.53,68.63,66.72,66.81,6466300,451873526.0
2019-09-02,67.53,68.18,65.98,67.73,5089500,354306187.0
2019-09-03,67.36,73.39,67.2,71.92,11575800,852024391.0
2019-09-04,71.53,73.28,70.78,71.46,6595500,490886064.0
2019-09-05,71.77,73.59,71.0,71.94,7582300,568264147.0
2019-09-06,72.27,73.39,69.3,69.63,6506100,479772052.0
2019-09-09,70.23,73.31,69.79,72.42,8964200,670649283.0
2019-09-10,72.45,74.53,71.51,72.23,7504800,566921376.0
2019-09-11,71.83,72.23,70.7,70.76,4697200,346440390.0
2019-09-12,70.91,71.41,68.19,68.48,6053200,433898784.0
2019-09-16,68.55,69.42,68.17,68.53,2704300,192485267.0
2019-09-17,68.53,69.11,66.34,66.52,3464900,242056241.0
2019-09-18,66.52,68.3,66.52,67.03,3110500,217061959.0
2019-09-19,66.86,69.02,66.85,67.82,4047100,285909877.0
2019-09-20,67.83,68.57,67.03,68.23,3287700,231056169.0
2019-09-23,67.53,68.53,66.43,67.92,3042700,212686281.0
2019-09-24,67.93,72.05,67.93,70.94,8746300,640112836.0
2019-09-25,70.43,70.93,67.77,67.79,4819200,344423856.0
2019-09-26,68.13,68.25,64.03,64.25,4916300,332907744.0
2019-09-27,64.42,66.5,64.42,65.83,2711500,184207403.0
2019-09-30,65.88,66.03,59.53,60.8,4879700,315794660.0
2019-10-08,60.81,61.32,58.53,58.7,2582200,159670039.0
2019-10-09,57.88,59.38,57.83,59.29,1806200,110858282.0
2019-10-10,59.51,60.48,59.24,60.03,1890900,117964562.0
2019-10-11,60.37,60.4,58.97,58.97,1681900,104113597.0
2019-10-14,59.33,61.1,58.86,60.61,2748500,172414469.0
2019-10-15,60.53,60.53,58.93,59.15,1503900,93617877.0
2019-10-16,59.53,59.82,57.54,57.55,2120300,129303979.0
2019-10-17,57.59,58.31,56.75,56.85,2014300,120107854.0
2019-10-18,57.33,60.26,57.13,58.43,3750400,230848514.0
2019-10-21,57.99,58.03,55.13,56.13,2797400,164027117.0
2019-10-22,55.73,56.98,55.73,56.53,1823500,107401829.0
2019-10-23,56.53,60.41,56.12,59.67,4535400,277368008.0
2019-10-24,58.88,59.83,58.54,58.58,2465800,151734230.0
2019-10-25,58.87,58.95,56.89,57.51,1675800,101027725.0
2019-10-28,58.56,59.52,58.33,59.08,3035800,186741510.0
2019-10-29,59.1,60.28,57.73,57.91,2939700,181017408.0
2019-10-30,57.5,59.82,57.24,57.52,3361900,205131038.0
2019-10-31,57.32,58.03,55.33,55.82,2890300,169521627.0
2019-11-01,55.43,57.49,55.13,56.78,2246100,132805459.0
2019-11-04,57.57,59.41,57.57,59.27,3946900,241537892.0
2019-11-05,58.63,60.31,58.38,59.69,4187500,259525790.0
2019-11-06,59.85,60.15,58.43,58.66,2332700,143782542.0
2019-11-07,58.33,62.13,58.33,61.51,5462600,345137528.0
2019-11-08,61.51,68.03,61.06,64.53,10203500,694774144.0
2019-11-11,64.45,67.73,62.03,65.16,6583900,449738560.0
2019-11-12,64.43,66.91,63.44,63.47,4004000,270887096.0
2019-11-13,63.54,68.93,63.33,68.34,8149100,567652752.0
2019-11-14,68.13,70.72,66.83,67.53,6052600,429648224.0
2019-11-15,67.35,69.53,67.16,67.61,4736700,335783390.0
2019-11-18,66.64,68.03,65.38,66.89,3278000,225869468.0
2019-11-19,66.89,68.52,65.68,67.42,4709600,327987342.0
2019-11-20,66.53,66.93,64.1,65.03,6694400,454034220.0
2019-11-21,64.53,65.71,63.85,64.13,2478700,166731627.0
2019-11-22,64.13,66.03,62.53,64.78,3899100,261136691.0
2019-11-25,64.19,65.17,60.68,61.23,3810100,248690925.0
2019-11-26,61.44,62.43,61.23,61.51,2002000,128604771.0
2019-11-27,61.82,64.98,60.7,63.61,4277000,282514665.0
2019-11-28,63.33,65.12,62.61,62.95,2690100,178314016.0
2019-11-29,63.03,63.53,61.62,62.96,2216900,144580161.0
2019-12-02,62.93,64.71,62.65,63.39,2438700,161837753.0
2019-12-03,63.03,63.35,60.83,62.69,2599200,167917212.0
2019-12-04,62.4,67.59,62.12,65.63,5645500,384587460.0
2019-12-05,65.44,68.03,65.04,67.02,5044700,350919564.0
2019-12-06,67.33,68.23,66.55,67.46,2652700,185449314.0
2019-12-09,67.82,70.63,67.81,69.43,5330700,384431550.0
2019-12-10,69.06,72.64,67.63,71.18,6467500,475575021.0
2019-12-11,70.14,72.41,68.8,70.04,4007200,292534822.0
2019-12-12,69.74,71.73,69.41,69.66,3382400,247588670.0
2019-12-13,70.73,70.83,68.03,69.13,2805500,200420504.0
2019-12-16,68.75,72.2,68.58,72.13,3745800,274123936.0
2019-12-17,72.71,75.41,71.73,72.15,3890700,295262626.0
2019-12-18,72.13,74.38,72.03,73.0,3868100,293246238.0
2019-12-19,72.97,73.03,70.58,71.65,2802500,207153147.0
2019-12-20,70.88,72.82,70.53,70.53,2162000,160702516.0
2019-12-23,70.2,70.2,65.98,66.16,3851400,269976680.0
2019-12-24,66.53,67.71,66.35,66.85,2326500,161809680.0
2019-12-25,66.86,71.33,66.83,71.02,3998400,289501281.0
2019-12-26,70.53,73.91,69.91,72.41,4151800,308801184.0
2019-12-27,72.53,73.72,70.54,70.92,2554600,190253422.0
2019-12-30,70.63,70.84,68.25,68.88,3063300,219537147.0
2019-12-31,68.97,69.82,68.25,69.14,1674300,119896783.0
2020-01-02,70.03,72.73,69.09,71.78,3327800,244332936.0
2020-01-03,72.48,74.51,71.79,72.41,3693700,278730896.0
2020-01-06,71.73,73.2,68.98,69.44,5690000,417797731.0
2020-01-07,68.58,69.02,64.75,66.03,12725600,871629833.0
2020-01-08,65.54,67.03,65.33,66.37,5622400,385025743.0
2020-01-09,67.53,67.98,66.85,67.61,5565300,389129776.0
2020-01-10,67.68,68.52,66.67,66.88,3679000,257466564.0
2020-01-13,66.94,72.84,65.41,72.66,10087000,728759540.0
2020-01-14,72.68,79.19,71.19,75.83,14968800,1158895792.0
2020-01-15,75.04,77.49,72.81,76.14,8207500,637631366.0
2020-01-16,75.9,81.13,75.53,78.85,11738000,956530264.0
2020-01-17,79.03,85.92,77.63,84.26,11990300,1016805690.0
2020-01-20,84.31,84.31,79.33,81.02,11284900,947424344.0
2020-01-21,81.22,83.13,77.91,77.96,7592000,626522137.0
2020-01-22,76.53,93.83,74.33,91.53,17392000,1471683562.0
2020-01-23,88.53,99.51,87.63,94.15,17142500,1638763410.0
