date,open,high,low,close,volume,amount
2019-12-26,47.11,52.2,46.91,49.1,21127800,1098546312.0
2019-12-27,49.5,49.5,43.12,45.1,15521600,755881632.0
2019-12-30,44.09,44.09,39.87,40.69,9020600,399198917.0
2019-12-31,40.5,42.17,39.26,40.95,6114300,270025559.0
2020-01-02,41.3,43.7,40.1,42.4,6890800,308976867.0
2020-01-03,42.6,43.36,41.18,42.1,6401600,288633820.0
2020-01-06,41.71,47.97,41.7,47.8,11188300,536017872.0
2020-01-07,47.1,50.76,46.68,48.0,8811400,454439472.0
2020-01-08,47.8,53.35,47.5,52.1,8115100,436277056.0
2020-01-09,50.26,53.2,49.9,52.62,6105000,332588615.0
2020-01-10,52.68,53.98,51.1,51.55,3164800,174834753.0
2020-01-13,51.1,58.6,51.07,58.1,6119000,352288636.0
2020-01-14,58.1,66.9,56.65,60.51,6373000,407442916.0
2020-01-15,61.42,64.5,60.68,62.98,3550500,231575174.0
2020-01-16,63.25,72.4,62.23,72.2,5941000,418368208.0
2020-01-17,70.6,75.08,68.1,71.87,5202000,387720709.0
2020-01-20,70.7,79.1,70.3,72.48,4483800,344902528.0
2020-01-21,70.76,71.58,65.9,67.1,4367600,310541056.0
2020-01-22,66.63,75.08,64.0,72.9,3762100,274205584.0
2020-01-23,70.98,72.9,63.7,67.1,3352300,239995507.0
2020-02-03,55.4,62.26,55.22,55.48,3727600,226935320.0
2020-02-04,57.6,65.26,57.6,64.0,3153000,205309726.0
2020-02-05,62.1,70.6,61.32,65.3,3324800,230862729.0
2020-02-06,64.29,70.66,64.29,68.39,2620600,187388138.0
2020-02-07,67.7,74.66,65.9,72.2,4428800,316454188.0
2020-02-10,75.9,78.1,71.85,72.18,3652200,282992088.0
2020-02-11,71.33,74.58,68.75,70.39,2532800,186568343.0
2020-02-12,71.1,75.98,68.21,73.81,3905800,291588048.0
2020-02-13,72.78,77.48,70.15,72.95,3899000,298493549.0
2020-02-14,73.1,78.13,71.68,74.0,4212000,329378304.0
2020-02-17,74.26,75.66,71.91,74.82,3001900,230288165.0
2020-02-18,74.11,86.1,73.8,82.5,5707700,469623968.0
2020-02-19,81.1,83.1,77.1,77.48,4006000,328243552.0
2020-02-20,77.48,80.08,72.78,74.22,2839700,222370351.0
2020-02-21,76.4,79.5,75.6,77.42,3123900,249479454.0
2020-02-24,77.1,80.96,74.08,79.1,3821600,307283744.0
2020-02-25,76.5,78.94,73.11,75.99,3069500,242875403.0
2020-02-26,73.6,74.24,64.61,65.6,3851900,276093666.0
2020-02-27,65.7,67.05,61.91,62.1,2634600,176391628.0
2020-02-28,58.1,60.89,56.62,57.76,3736400,228668661.0
2020-03-02,59.91,61.55,57.79,59.33,3192800,198651119.0
2020-03-03,60.9,65.69,59.68,60.35,4527800,294999252.0
2020-03-04,59.57,61.9,56.11,58.41,3081500,190155015.0
2020-03-05,60.1,62.4,58.43,61.43,3155300,199503956.0
2020-03-06,60.08,60.68,59.09,59.31,1592700,99769063.0
2020-03-09,57.46,57.46,52.67,53.31,2607800,151443992.0
2020-03-10,52.98,58.37,51.28,58.09,3919300,228912677.0
2020-03-11,58.0,58.0,54.3,54.81,2221600,131535809.0
2020-03-12,53.5,57.1,53.32,55.18,1654600,96035021.0
2020-03-13,51.38,60.08,51.38,58.25,4365600,263634156.0
2020-03-16,57.7,61.3,57.7,59.11,4606100,287912500.0
2020-03-17,60.9,62.3,56.12,61.2,4446400,280923778.0
2020-03-18,63.23,66.23,60.11,61.05,4858600,325408368.0
2020-03-19,61.43,64.59,57.12,64.35,5441600,344999412.0
2020-03-20,64.31,65.57,61.18,61.76,3965500,261417579.0
2020-03-23,58.3,59.77,51.6,53.28,3183100,187374361.0
2020-03-24,54.97,55.68,51.38,54.61,2218300,125619252.0
2020-03-25,57.02,57.3,54.57,55.13,2118400,124525984.0
2020-03-26,54.17,56.58,53.21,54.75,1746700,100892950.0
2020-03-27,56.03,56.03,52.7,52.98,1854500,105379908.0
2020-03-30,51.1,51.86,47.3,48.0,2886800,148672985.0
2020-03-31,49.2,50.2,46.98,47.31,2316300,119740044.0
2020-04-01,47.4,49.7,47.12,48.3,1939600,100225929.0
2020-04-02,47.56,52.45,47.36,52.45,2477900,131174775.0
2020-04-03,51.6,52.57,49.8,50.43,1970000,105921301.0
2020-04-07,52.1,52.7,50.94,51.66,1921600,105008226.0
2020-04-08,50.95,53.26,50.18,51.86,1615400,88990226.0
2020-04-09,52.1,52.78,50.56,51.2,1872800,101450407.0
2020-04-10,50.73,51.0,47.26,48.72,1904500,98574695.0
2020-04-13,47.59,47.9,46.0,46.37,1985500,98854527.0
2020-04-14,46.65,48.25,46.65,48.12,1422700,71629103.0
2020-04-15,48.18,49.95,47.63,49.23,1718700,89451948.0
2020-04-16,48.89,49.57,48.2,48.96,1196800,61815813.0
2020-04-17,49.6,51.38,49.2,49.76,2131900,113316796.0
2020-04-20,49.72,49.92,48.76,49.45,1256900,65466167.0
2020-04-21,49.45,49.48,47.2,48.4,1486000,75854686.0
2020-04-22,48.38,54.6,47.68,54.5,4334600,239691627.0
2020-04-23,55.1,55.48,53.26,53.79,2711800,155179803.0
2020-04-24,53.66,57.89,52.2,55.74,2554300,149643672.0
2020-04-27,55.2,57.29,52.86,54.35,1827000,104267286.0
2020-04-28,54.15,54.55,46.1,50.4,2864500,154903486.0
2020-04-29,50.42,52.59,50.42,50.9,1604200,87209025.0
2020-04-30,52.21,60.8,51.5,59.7,4064700,240206731.0
2020-05-06,59.5,70.49,58.1,68.6,5294600,360860234.0
2020-05-07,67.36,69.36,64.1,64.8,4043000,279069584.0
2020-05-08,65.6,66.87,62.99,65.06,4979900,339122784.0
2020-05-11,65.01,69.09,63.28,64.5,4385900,300953636.0
2020-05-12,63.17,64.09,60.29,63.61,3602100,234249415.0
2020-05-13,62.51,65.1,62.3,63.16,2944400,194885232.0
2020-05-14,63.76,72.6,63.67,66.36,7410100,525205936.0
