date,open,high,low,close,volume,amount
2019-07-22,72.92,83.12,40.84,53.61,36633000,3099174115.0
2019-07-23,49.54,59.49,49.5,55.12,17467400,1467269995.0
2019-07-24,55.61,56.93,53.73,56.28,13826500,1157105173.0
2019-07-25,55.81,59.56,55.47,57.69,16028900,1394590294.0
2019-07-26,56.28,57.28,51.58,51.97,12039400,984438333.0
2019-07-29,52.12,55.27,52.12,54.28,9244800,755179456.0
2019-07-30,54.4,55.94,53.31,55.46,10570600,879908926.0
2019-07-31,55.48,60.89,55.48,58.61,16809100,1491740629.0
2019-08-01,57.38,60.7,56.9,60.34,16148800,1433357652.0
2019-08-02,58.69,67.89,58.33,63.32,21774000,2070175448.0
2019-08-05,62.98,66.01,59.71,65.92,16134400,1550318971.0
2019-08-06,64.33,70.71,57.95,60.3,21066500,2114979534.0
2019-08-07,61.64,62.55,56.75,59.64,12667400,1139498631.0
2019-08-08,59.63,61.34,57.28,57.28,9808100,876834936.0
2019-08-09,57.62,58.16,53.93,54.18,9567200,802761459.0
2019-08-12,54.1,55.91,52.24,54.89,7024700,575791229.0
2019-08-13,54.8,55.52,53.61,55.43,5611900,464704666.0
2019-08-14,56.06,56.32,54.93,55.61,5936100,499675544.0
2019-08-15,53.91,55.05,53.52,54.94,5356100,440205541.0
2019-08-16,54.94,55.88,54.4,54.67,4852000,403488234.0
2019-08-19,54.67,55.19,53.33,54.9,6214300,509830548.0
2019-08-20,54.93,56.28,54.61,55.64,6872000,575595411.0
2019-08-21,55.4,56.05,52.59,52.65,7447900,606585968.0
2019-08-22,53.59,57.29,53.1,54.67,11058500,926060086.0
2019-08-23,53.61,54.13,48.9,49.87,11277500,877109453.0
2019-08-26,49.77,50.75,48.95,49.51,4702600,353597993.0
2019-08-27,49.3,49.99,49.01,49.77,3913300,293264278.0
2019-08-28,49.57,49.9,47.89,47.95,4669300,345666037.0
2019-08-29,48.09,48.28,46.0,47.22,5499200,389789021.0
2019-08-30,47.41,47.79,46.65,46.69,3370200,241334201.0
2019-09-02,47.36,48.8,46.69,48.1,4211000,305977076.0
2019-09-03,47.75,51.83,47.74,50.81,7567400,575809503.0
2019-09-04,51.46,54.86,50.83,51.18,9252000,740167715.0
2019-09-05,50.77,52.45,50.24,51.51,5789400,449901322.0
2019-09-06,50.91,51.7,49.57,49.7,4511100,344369968.0
2019-09-09,49.9,51.19,49.7,50.42,3401100,260182088.0
2019-09-10,50.44,51.91,50.44,50.87,3455400,267532765.0
2019-09-11,50.85,51.42,50.32,50.32,2841900,218483347.0
