date,open,high,low,close,volume,amount
2019-07-22,36.83,59.65,26.32,47.84,9986600,1584203738.0
2019-07-23,38.83,48.39,37.8,43.52,6050700,1065865188.0
2019-07-24,43.96,46.05,41.33,44.58,5032000,904977720.0
2019-07-25,43.83,49.04,43.09,49.04,5939400,1119254528.0
2019-07-26,46.58,47.56,42.58,42.89,4017000,743010373.0
2019-07-29,43.02,45.48,42.71,44.46,3160600,576880791.0
2019-07-30,44.8,47.84,43.89,46.34,4308400,823062292.0
2019-07-31,46.33,47.58,45.6,47.29,3729700,714351087.0
2019-08-01,47.71,49.98,47.16,49.46,5205000,1034195856.0
2019-08-02,47.82,55.34,47.34,50.89,6645300,1382292581.0
2019-08-05,50.09,51.46,47.34,50.96,4349100,892680330.0
2019-08-06,50.04,53.01,43.58,45.28,4916900,1010046745.0
2019-08-07,45.87,46.71,42.66,44.58,3222500,589148121.0
2019-08-08,44.33,44.8,42.67,42.75,2172200,389515849.0
2019-08-09,43.2,43.29,40.32,40.42,2648600,455065316.0
2019-08-12,40.82,40.92,38.55,39.7,1914700,311741088.0
2019-08-13,39.33,41.58,39.29,41.33,2130400,354240484.0
2019-08-14,41.36,43.0,41.21,42.13,2253800,388962003.0
2019-08-15,40.85,41.83,40.58,41.54,1323000,224777630.0
2019-08-16,41.58,41.96,40.89,41.1,1392900,237632146.0
2019-08-19,41.08,41.1,39.3,40.55,1637500,270506752.0
2019-08-20,40.56,41.33,40.22,40.65,1676500,281355528.0
2019-08-21,40.33,40.69,37.74,37.78,1899500,304040120.0
2019-08-22,37.78,38.28,36.65,36.9,1069800,164816007.0
2019-08-23,37.21,37.29,33.82,34.27,2183300,318405048.0
2019-08-26,34.15,35.04,33.87,34.33,1023500,145759138.0
2019-08-27,34.95,36.52,34.62,35.88,2004400,296751436.0
2019-08-28,35.32,35.47,34.45,34.56,1222300,176508230.0
2019-08-29,34.33,34.7,33.32,33.87,1223100,171477338.0
2019-08-30,34.33,34.64,34.12,34.19,909900,129355400.0
2019-09-02,34.32,34.63,34.07,34.63,791400,112599269.0
2019-09-03,34.7,40.53,34.52,39.32,3261000,512797513.0
2019-09-04,38.58,39.55,37.54,37.73,2014800,319184704.0
2019-09-05,37.83,38.33,37.34,37.83,1203800,187938299.0
2019-09-06,37.83,38.45,36.74,36.83,1000900,155267145.0
2019-09-09,37.78,38.02,37.13,37.7,1082400,167869120.0
2019-09-10,37.84,39.36,37.59,37.98,1273700,202417010.0
2019-09-11,37.93,38.52,37.34,37.65,841300,131377649.0
2019-09-12,38.08,38.29,36.47,36.53,1068300,163689005.0
2019-09-16,36.36,37.13,36.36,36.78,522900,79311868.0
2019-09-17,36.71,36.97,34.91,35.02,865200,127694333.0
2019-09-18,35.08,35.69,34.31,34.46,805900,115399501.0
2019-09-19,34.45,36.06,34.24,35.11,888200,129578478.0
2019-09-20,34.83,35.53,34.6,35.44,703800,102303921.0
2019-09-23,35.32,36.07,35.07,36.07,907500,133493841.0
2019-09-24,36.18,39.15,36.18,38.36,2697400,424375908.0
2019-09-25,38.08,38.83,36.5,36.58,1543200,238601136.0
2019-09-26,36.15,36.57,33.57,33.77,1460700,208681684.0
2019-09-27,33.84,35.07,33.58,34.3,724300,102585601.0
2019-09-30,34.32,34.54,31.4,31.67,1037300,138676239.0
2019-10-08,31.32,31.92,30.33,30.51,580300,74385195.0
2019-10-09,30.51,31.32,30.07,31.32,522200,67232409.0
2019-10-10,31.57,31.92,31.07,31.64,430200,56416795.0
2019-10-11,31.42,31.74,30.83,30.86,584200,75728479.0
2019-10-14,31.32,32.07,30.9,31.58,634400,83250847.0
2019-10-15,31.29,31.74,30.7,30.74,469500,60752152.0
