date,open,high,low,close,volume,amount
2021-11-18,119.73,138.73,119.73,127.48,24267400,3139353920.0
2021-11-19,128.72,130.63,120.29,123.0,8909500,1131714160.0
2021-11-22,120.24,138.73,120.01,135.63,9184400,1226113216.0
2021-11-23,132.83,135.17,126.93,132.62,5122400,684422960.0
2021-11-24,131.73,138.04,128.36,129.37,4320700,587254224.0
2021-11-25,131.23,135.8,128.05,129.35,3139700,419280640.0
2021-11-26,131.25,135.73,129.24,131.74,3204000,431220800.0
2021-11-29,128.75,134.43,124.73,125.32,3542600,464588528.0
2021-11-30,125.83,130.23,124.95,126.04,2209500,286307936.0
2021-12-01,124.12,129.13,121.41,122.13,2349500,296871744.0
2021-12-02,122.83,129.34,122.83,125.25,3018500,389542992.0
2021-12-03,126.72,127.5,122.74,126.46,1889600,240757591.0
2021-12-06,125.96,135.02,123.53,129.45,2871000,381528256.0
2021-12-07,129.73,134.21,125.61,129.51,2188900,287616096.0
2021-12-08,132.73,134.71,130.33,132.28,1511800,203704164.0
2021-12-09,132.73,132.73,125.74,126.53,1920800,250829997.0
2021-12-10,125.53,127.36,124.26,125.09,1718700,219461479.0
2021-12-13,126.47,126.47,122.93,126.29,1774900,224972611.0
2021-12-14,124.73,131.03,124.29,129.63,1838700,240152638.0
2021-12-15,128.72,129.63,123.53,124.72,1943000,248870542.0
2021-12-16,124.73,127.53,122.98,126.83,1660400,213071383.0
2021-12-17,125.25,126.99,120.73,124.23,1580800,197679167.0
2021-12-20,122.72,125.23,121.61,121.74,709400,89285797.0
2021-12-21,122.79,123.58,120.36,121.68,660400,81960882.0
2021-12-22,122.69,123.71,121.33,123.25,848800,106113286.0
2021-12-23,121.86,123.53,121.36,121.96,641000,79676886.0
2021-12-24,121.13,122.33,111.08,112.3,2027600,238808480.0
2021-12-27,111.88,118.5,107.93,115.91,2229600,254469355.0
2021-12-28,115.43,119.28,112.99,117.64,1297100,154243891.0
2021-12-29,115.73,119.66,114.39,117.74,1107700,132416382.0
2021-12-30,116.06,126.73,116.06,123.27,1471200,184706038.0
2021-12-31,123.27,126.59,121.73,125.53,1145800,145772733.0
2022-01-04,126.63,126.63,116.54,116.97,1205600,146986183.0
2022-01-05,118.88,118.88,108.29,108.43,2112900,237487224.0
2022-01-06,106.61,114.61,105.09,111.76,1554400,175983201.0
2022-01-07,114.23,114.65,107.32,107.78,1241900,139150214.0
2022-01-10,107.78,111.69,106.0,110.93,797900,89130638.0
2022-01-11,108.73,110.03,106.27,107.73,921600,101315004.0
2022-01-12,107.68,111.4,107.68,108.73,725900,81412586.0
2022-01-13,110.2,110.2,104.53,105.04,932600,100929458.0
2022-01-14,105.03,110.17,102.83,109.44,1033200,113360513.0
2022-01-17,109.22,113.9,107.32,112.62,784100,89595824.0
2022-01-18,111.11,114.12,108.11,108.26,690600,77607752.0
