date,open,high,low,close,volume,amount
2020-02-21,88.98,94.98,76.68,76.94,27093900,2261689566.0
2020-02-24,72.98,76.75,66.65,75.48,18735900,1358035639.0
2020-02-25,72.03,80.98,72.03,76.58,15683100,1226422034.0
2020-02-26,72.48,75.48,68.65,69.99,11155900,804577378.0
2020-02-27,68.96,70.99,64.59,64.59,8177900,551357659.0
2020-02-28,58.98,66.19,57.98,60.64,7788300,486004095.0
2020-03-02,63.38,63.98,60.0,61.36,5621600,352509384.0
2020-03-03,62.1,65.2,61.18,61.88,6770800,433325484.0
2020-03-04,59.98,60.96,57.86,60.28,5825800,352670778.0
2020-03-05,61.48,64.46,60.59,62.77,6615200,419128400.0
2020-03-06,60.92,62.18,60.56,61.0,3922300,244164281.0
2020-03-09,58.98,59.97,55.76,55.79,4669400,275463720.0
2020-03-10,57.83,58.94,55.57,58.63,5661500,330430548.0
2020-03-11,57.88,58.48,54.97,55.09,5022900,289979649.0
2020-03-12,53.27,55.2,52.99,53.44,2781900,152620366.0
2020-03-13,49.78,55.36,49.49,53.52,4458300,238718994.0
2020-03-16,53.23,55.46,50.31,50.48,3635700,196962993.0
2020-03-17,52.12,52.86,49.08,51.64,3639100,190611889.0
2020-03-18,52.86,53.42,50.65,50.78,3734700,199982097.0
2020-03-19,51.28,57.85,50.86,57.83,7507400,422577565.0
2020-03-20,59.08,59.96,56.78,57.63,6671200,396240672.0
2020-03-23,54.93,56.18,49.98,50.68,5008900,269690496.0
2020-03-24,52.49,52.98,49.08,52.98,4156100,218124935.0
2020-03-25,54.38,55.78,53.14,53.59,3965600,219468589.0
2020-03-26,51.96,53.58,51.38,51.48,2972000,158090799.0
2020-03-27,53.38,54.48,51.53,51.92,3060200,165093602.0
2020-03-30,49.94,50.81,47.99,49.15,3416800,170722832.0
2020-03-31,50.25,50.8,48.06,48.23,2545800,127911013.0
2020-04-01,47.97,49.78,47.97,48.26,2214300,110133607.0
2020-04-02,47.57,51.23,47.47,51.14,3379900,170397483.0
2020-04-03,50.39,50.53,48.74,48.79,2802100,141551898.0
2020-04-07,50.08,50.37,49.49,49.65,2092500,106385078.0
2020-04-08,49.73,51.68,49.64,50.72,3135300,162851448.0
2020-04-09,49.99,50.98,49.65,49.88,2372800,121191912.0
2020-04-10,49.73,49.98,47.75,47.9,2327900,115276673.0
2020-04-13,47.98,48.18,46.3,46.38,1635800,78768890.0
2020-04-14,47.01,47.48,46.56,47.2,1204300,57843567.0
2020-04-15,47.14,47.96,46.64,46.65,1687300,81536834.0
2020-04-16,46.37,46.57,45.47,45.64,2273000,106653025.0
2020-04-17,46.07,47.23,45.91,46.37,2484000,118166060.0
2020-04-20,45.98,46.31,45.48,46.07,1488200,69831224.0
2020-04-21,45.98,45.98,44.8,45.02,1550300,71665274.0
2020-04-22,44.6,47.18,44.32,46.5,3182800,151328324.0
2020-04-23,46.32,47.36,46.04,46.45,2064300,98416012.0
2020-04-24,46.18,47.86,45.48,47.28,3020700,144694234.0
2020-04-27,47.08,47.26,45.74,45.99,1911000,90287077.0
2020-04-28,45.76,45.76,38.98,42.14,3487200,150758315.0
2020-04-29,41.97,42.38,39.73,40.0,2136700,89505267.0
2020-04-30,39.74,44.66,39.74,43.1,3912800,169652476.0
2020-05-06,42.1,50.47,41.98,49.83,7135900,339158235.0
2020-05-07,49.78,49.78,47.29,47.58,5194200,255533896.0
2020-05-08,47.64,49.53,47.39,47.67,4039700,198883102.0
2020-05-11,48.35,49.78,47.74,48.28,3624100,179727482.0
2020-05-12,48.97,52.97,47.49,52.88,6433000,331902363.0
2020-05-13,52.88,54.98,51.68,51.74,6145000,333076147.0
2020-05-14,50.94,54.84,50.73,52.38,6226700,337580943.0
2020-05-15,52.43,54.34,51.48,52.94,4891400,264615043.0
2020-05-18,54.79,55.48,52.58,53.44,6072300,335533742.0
2020-05-19,53.08,57.56,51.51,56.65,7822100,435534115.0
2020-05-20,55.83,58.48,54.01,54.65,6438400,367577328.0
2020-05-21,54.86,55.58,50.96,50.98,4506700,243785515.0
2020-05-22,51.28,57.37,50.78,57.01,7707900,422565671.0
2020-05-25,58.68,59.88,55.66,56.0,6708000,392159232.0
2020-05-26,55.38,59.16,55.09,57.83,7294000,424793782.0
2020-05-27,57.07,61.41,55.77,61.07,9415900,561190030.0
2020-05-28,61.08,65.05,58.18,63.57,10247200,639401948.0
2020-05-29,61.42,63.97,56.48,57.18,11834600,732006691.0
2020-06-01,57.99,58.97,55.25,57.98,9074300,530989300.0
2020-06-02,58.88,59.86,56.0,59.03,8440200,500031782.0
2020-06-03,58.77,59.98,56.57,56.58,7576500,446708544.0
2020-06-04,56.86,57.15,53.48,54.04,6061300,340008564.0
2020-06-05,54.04,56.66,53.6,55.28,4507400,254483619.0
2020-06-08,56.48,57.75,54.8,56.25,4725400,271733494.0
2020-06-09,56.25,56.58,54.04,55.88,3909900,219953818.0
2020-06-10,55.56,56.34,53.78,53.89,3138100,175265263.0
2020-06-11,53.98,55.95,53.27,53.82,3417700,189924378.0
2020-06-12,51.98,52.93,51.66,51.88,3559800,189232680.0
2020-06-15,51.78,52.46,49.99,50.07,2791500,146474526.0
2020-06-16,50.53,51.78,50.34,51.75,2657300,138313871.0
2020-06-17,51.96,51.96,50.16,50.66,2044100,106080321.0
2020-06-18,50.74,52.21,50.58,51.26,2180000,114356659.0
2020-06-19,50.85,51.75,50.56,50.95,1750600,91045624.0
2020-06-22,51.24,53.94,51.22,52.97,4085900,220208354.0
2020-06-23,52.78,53.08,51.78,52.15,2101000,111888251.0
2020-06-24,52.48,53.83,52.03,53.2,3179100,172005052.0
2020-06-29,52.28,52.86,50.48,50.75,2986400,156646809.0
2020-06-30,51.28,51.82,50.87,51.19,1969700,103039504.0
2020-07-01,51.17,51.88,48.99,49.47,2992700,153756745.0
2020-07-02,49.48,54.33,49.01,53.54,5510900,293186412.0
2020-07-03,53.42,53.96,52.07,53.1,3194600,172164753.0
2020-07-06,54.33,59.08,53.25,58.12,6352500,366406219.0
2020-07-07,58.38,61.31,57.23,57.23,7425700,444397405.0
2020-07-08,58.6,59.92,57.63,59.13,4824700,288309920.0
2020-07-09,59.13,63.63,58.16,61.43,6142700,380448256.0
2020-07-10,61.12,62.83,59.41,59.92,4454400,275093360.0
2020-07-13,60.01,62.93,59.31,62.93,5186100,323412304.0
2020-07-14,64.26,65.11,58.93,60.94,6361800,398678800.0
2020-07-15,60.83,61.13,55.11,55.52,5217600,306517516.0
2020-07-16,55.73,56.31,50.01,50.12,4411500,237060303.0
2020-07-17,50.2,51.12,48.24,48.93,2650500,134224595.0
2020-07-20,49.42,50.07,47.58,50.07,2401200,119581311.0
2020-07-21,50.55,51.23,49.26,50.12,1958800,99649602.0
2020-07-22,49.6,50.43,49.23,49.33,2154900,109129074.0
2020-07-23,48.79,49.34,46.63,47.31,2950800,143143194.0
2020-07-24,47.0,47.51,42.69,43.49,3134700,145314877.0
2020-07-27,43.81,44.63,42.96,43.55,1383100,61690907.0
2020-07-28,44.91,45.6,43.97,44.61,1469900,67185037.0
2020-07-29,44.6,47.19,44.21,47.01,2129300,99439723.0
2020-07-30,47.23,47.63,46.21,46.82,1779500,85067642.0
2020-07-31,46.54,47.82,46.36,47.47,1883100,90514108.0
2020-08-03,47.89,49.23,47.71,48.98,2172400,107660527.0
2020-08-04,48.98,49.18,46.74,47.28,2051900,100312847.0
2020-08-05,49.78,49.78,47.83,48.15,2310900,114367519.0
2020-08-06,47.71,48.0,46.72,47.15,1701700,81954428.0
2020-08-07,47.28,48.8,46.94,47.54,2588100,126020575.0
