date,open,high,low,close,volume,amount,outstanding_share,turnover
2022-08-12,69.72,73.51,59.86,59.86,119133625.0,7864877720.0,199605793.0,0.5968445264511937
2022-08-15,56.77,60.95,56.48,56.59,59475630.0,3509521338.0,199605793.0,0.29796545033139393
2022-08-16,55.78,61.42,54.79,60.45,45226222.0,2650930792.0,199605793.0,0.22657770258200874
2022-08-17,60.11,61.61,56.57,57.41,30965039.0,1814533092.0,199605793.0,0.15513096355875805
2022-08-18,56.79,58.56,55.28,57.42,20379982.0,1172481799.0,199605793.0,0.10210115494994677
2022-08-19,57.78,58.87,53.81,54.04,19856238.0,1121274065.0,199605793.0,0.09947726316740717
2022-08-22,53.79,56.73,53.74,56.13,17120114.0,961875912.0,199605793.0,0.08576962493267919
2022-08-23,55.71,60.59,55.58,59.63,21665593.0,1282497748.0,199605793.0,0.10854190489351179
2022-08-24,59.06,60.72,57.0,58.52,12285793.0,719144880.0,199605793.0,0.061550282761582975
2022-08-25,58.78,59.06,54.13,55.08,13214891.0,738634614.0,199605793.0,0.06620494726823885
2022-08-26,54.59,55.72,49.8,50.0,21365287.0,1117262543.0,199605793.0,0.1070374094803952
2022-08-29,48.85,51.07,48.5,48.9,11626638.0,577106090.0,199605793.0,0.05824799884440228
2022-08-30,48.83,52.56,48.73,51.53,16427156.0,845275467.0,199605793.0,0.08229799222310145
2022-08-31,51.79,53.55,49.8,49.98,12120606.0,626793711.0,199605793.0,0.060722716599713115
2022-09-01,56.87,59.56,53.64,54.25,44421194.0,2548811140.0,199605793.0,0.22254461322172148
2022-09-02,54.69,59.56,54.69,55.88,26976389.0,1543447779.0,199605793.0,0.13514832708287178
2022-09-05,54.88,55.4,51.07,51.96,20327715.0,1082191562.0,199605793.0,0.10183930383222896
2022-09-06,52.74,53.37,51.14,53.09,12381516.0,649731420.0,199605793.0,0.06202984299158091
2022-09-07,53.39,57.06,53.09,54.65,14913190.0,826665169.0,199605793.0,0.07471321235651712
2022-09-08,54.64,56.97,54.29,56.4,12792981.0,721847522.0,199605793.0,0.06409123105961158
2022-09-09,56.78,57.25,54.7,55.58,6704055.0,375469782.0,199605793.0,0.033586475117984176
2022-09-13,55.97,57.99,55.36,55.59,7799766.0,441953878.0,199605793.0,0.03907584986774407
2022-09-14,54.78,59.25,54.11,58.98,14025063.0,807139020.0,199605793.0,0.07026380742366531
2022-09-15,58.28,61.16,55.58,55.98,16768023.0,978247438.0,199605793.0,0.08400569316142042
2022-09-16,55.67,64.94,55.45,62.35,27395163.0,1703335364.0,199605793.0,0.13724633232463349
2022-09-19,62.35,67.76,61.83,62.62,21933351.0,1416638945.0,199605793.0,0.10988333890690237
2022-09-20,63.25,64.62,60.77,62.46,11899013.0,747926762.0,199605793.0,0.059612563448997694
2022-09-21,62.25,62.75,59.82,60.57,10193140.0,626149854.0,199605793.0,0.05106635357020926
2022-09-22,60.34,65.33,60.16,63.09,11563234.0,732528779.0,199605793.0,0.05793035275283819
2022-09-23,62.54,64.08,60.56,60.88,10718889.0,665991854.0,199605793.0,0.053700290151398565
2022-09-26,60.07,62.11,59.09,60.06,9431701.0,571944927.0,199605793.0,0.047251639635529016
2022-09-27,60.06,61.51,57.88,61.51,10398608.0,623078362.0,199605793.0,0.05209572249238277
2022-09-28,60.56,60.81,57.14,57.96,10687492.0,629618802.0,199605793.0,0.053542995117381184
2022-09-29,58.69,61.34,57.77,60.66,10062079.0,606463548.0,199605793.0,0.050409754390244574
2022-09-30,60.54,61.73,58.58,58.59,7163333.0,430264403.0,199605793.0,0.03588740032209386
2022-10-10,55.68,55.68,46.87,46.87,17192303.0,820001057.0,199605793.0,0.08613128277294037
2022-10-11,45.79,46.27,37.58,37.85,42514760.0,1682176638.0,199605793.0,0.21299361787560944
