date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-08-07,58.64,59.63,52.08,52.84,62845036.0,3436275242.0,103974252.0,0.6044288349388655
2023-08-08,51.19,53.94,50.8,53.17,31695044.0,1669754377.0,103974252.0,0.3048355086988267
2023-08-09,52.65,53.31,51.65,52.76,22302415.0,1172289206.0,103974252.0,0.21449940317916402
2023-08-10,52.19,55.0,52.0,52.95,28123645.0,1522027164.0,103974252.0,0.2704866297090553
2023-08-11,51.91,52.16,50.54,50.59,21691597.0,1116413682.0,103974252.0,0.20862469873791445
2023-08-14,49.66,49.78,47.6,48.7,16330674.0,797313221.0,103974252.0,0.1570645971081379
2023-08-15,48.5,48.73,47.83,48.25,7939469.0,384474466.0,103974252.0,0.07635995303914281
2023-08-16,48.18,49.25,47.83,48.33,7386279.0,360025792.0,103974252.0,0.07103950120266314
2023-08-17,47.82,48.98,47.81,48.83,8137798.0,396250788.0,103974252.0,0.0782674349030181
2023-08-18,49.3,50.53,48.66,48.66,12981110.0,649059299.0,103974252.0,0.12484927518401383
2023-08-21,48.5,48.86,47.21,47.28,10283599.0,495799790.0,103974252.0,0.09890524627193278
2023-08-22,47.69,47.69,45.18,46.29,15785656.0,731123377.0,103974252.0,0.1518227416533855
2023-08-23,45.92,45.92,44.69,44.7,7437854.0,338350975.0,103974252.0,0.07153553747133473
2023-08-24,44.91,46.14,44.79,45.51,8445708.0,386945475.0,103974252.0,0.08122884115578922
2023-08-25,45.01,45.01,43.27,43.65,9620174.0,424271311.0,103974252.0,0.09252458002775533
2023-08-28,46.58,46.6,43.92,44.15,11803535.0,539178913.0,103974252.0,0.11352363467832402
2023-08-29,44.21,49.55,44.16,49.26,23291841.0,1113941255.0,103974252.0,0.2240154706763363
2023-08-30,50.84,52.57,49.9,50.92,27005744.0,1392649296.0,103974252.0,0.2597349197568644
2023-08-31,50.43,53.21,50.34,51.89,20106726.0,1048569012.0,103974252.0,0.19338178071240175
2023-09-01,51.69,52.48,50.2,50.99,11682461.0,597399336.0,103974252.0,0.11235917330763774
2023-09-04,51.04,51.43,50.29,51.43,9339070.0,476633271.0,103974252.0,0.08982098760373866
2023-09-05,51.59,51.94,49.4,49.95,14942276.0,757749290.0,103974252.0,0.14371131037326434
2023-09-06,49.89,51.64,49.41,51.29,14272987.0,724275996.0,103974252.0,0.13727424555071577
2023-09-07,50.79,50.82,48.5,48.5,11455988.0,569913409.0,103974252.0,0.1101810090444315
2023-09-08,48.45,49.26,48.36,48.74,5787497.0,283326234.0,103974252.0,0.05566279043777107
2023-09-11,48.42,49.35,48.2,48.75,5749409.0,281571639.0,103974252.0,0.055296468975799894
2023-09-12,48.7,48.7,47.61,48.04,5864113.0,283332328.0,103974252.0,0.05639966517864442
2023-09-13,47.94,47.98,46.4,46.93,6064329.0,286581087.0,103974252.0,0.05832529576649419
2023-09-14,46.96,46.99,45.94,46.09,4422390.0,205649803.0,103974252.0,0.04253351108503286
2023-09-15,46.18,47.27,45.64,46.36,6296670.0,294534595.0,103974252.0,0.060559897079134554
2023-09-18,45.98,46.94,45.47,46.36,4724636.0,220120676.0,103974252.0,0.04544044231258331
2023-09-19,46.28,46.41,45.63,45.82,3695599.0,170500914.0,103974252.0,0.03554340549619919
2023-09-20,45.9,46.31,45.19,45.19,3934291.0,180854740.0,103974252.0,0.03783908923913201
2023-09-21,45.25,45.96,45.25,45.51,3774838.0,172980759.0,103974252.0,0.03630550763664066
2023-09-22,45.36,47.28,45.22,47.17,7324866.0,341438095.0,103974252.0,0.07044884535452103
2023-09-25,46.91,46.91,46.16,46.38,4498736.0,209970249.0,103974252.0,0.043267789029153104
2023-09-26,46.38,46.74,46.15,46.22,2901587.0,135213374.0,103974252.0,0.027906784075734443
2023-09-27,46.22,46.71,46.04,46.25,3355595.0,156249878.0,103974252.0,0.032273326669375796
