date,open,high,low,close,volume,amount,outstanding_share,turnover
2015-02-17,1.84,2.21,1.84,2.21,11200.0,343497.0,15240000.0,0.0007349081364829396
2015-02-25,2.43,2.43,2.43,2.43,4300.0,145813.0,15240000.0,0.0002821522309711286
2015-02-26,2.68,2.68,2.68,2.68,2800.0,104440.0,15240000.0,0.0001837270341207349
2015-02-27,2.94,2.94,2.94,2.94,5600.0,229768.0,15240000.0,0.0003674540682414698
2015-03-02,3.24,3.24,3.24,3.24,21500.0,970295.0,15240000.0,0.001410761154855643
2015-03-03,3.56,3.56,3.56,3.56,173549.0,8614972.0,15240000.0,0.011387729658792652
2015-03-04,3.92,3.92,3.81,3.92,2628662.0,143459376.0,15240000.0,0.17248438320209974
2015-03-05,4.16,4.31,4.06,4.31,2247258.0,132430112.0,15240000.0,0.14745787401574803
2015-03-06,4.74,4.74,4.39,4.46,9185096.0,590685440.0,15240000.0,0.6026965879265092
2015-03-09,4.02,4.2,4.02,4.08,5544989.0,316589152.0,15240000.0,0.36384442257217847
2015-03-10,4.02,4.22,3.95,4.13,3738355.0,213889392.0,15240000.0,0.24529888451443568
2015-03-11,4.08,4.19,4.02,4.08,3283951.0,187483984.0,15240000.0,0.21548234908136482
2015-03-12,4.09,4.15,3.85,3.87,3325975.0,183512992.0,15240000.0,0.21823982939632547
2015-03-13,3.89,4.05,3.88,4.02,2120286.0,117583296.0,15240000.0,0.1391263779527559
2015-03-16,4.1,4.28,4.05,4.17,2820736.0,164037312.0,15240000.0,0.18508766404199475
2015-03-17,4.16,4.27,4.13,4.18,3192638.0,186966448.0,15240000.0,0.20949068241469818
2015-03-18,4.15,4.39,4.14,4.32,3133624.0,188436768.0,15240000.0,0.20561837270341207
2015-03-19,4.33,4.43,4.27,4.39,2427450.0,147070080.0,15240000.0,0.15928149606299213
2015-03-20,4.36,4.48,4.32,4.38,2389102.0,146475680.0,15240000.0,0.15676522309711285
2015-03-23,4.4,4.43,4.33,4.4,2236509.0,136504496.0,15240000.0,0.1467525590551181
2015-03-24,4.42,4.73,4.38,4.61,3377311.0,214054768.0,15240000.0,0.22160833333333332
2015-03-25,4.59,5.07,4.5,5.07,3358572.0,223036272.0,15240000.0,0.22037874015748032
2015-03-26,5.06,5.06,4.57,4.66,3603327.0,240880544.0,15240000.0,0.23643877952755907
2015-03-27,4.6,4.73,4.53,4.67,1455308.0,94287584.0,15240000.0,0.09549265091863517
2015-03-30,4.61,4.68,4.31,4.45,1961025.0,123149136.0,15240000.0,0.1286761811023622
2015-03-31,4.45,4.54,4.38,4.46,1125205.0,70184752.0,15240000.0,0.07383234908136482
2015-04-01,4.47,4.55,4.44,4.55,1232930.0,77550064.0,15240000.0,0.0809009186351706
