date,open,high,low,close,volume,amount,outstanding_share,turnover
2016-08-18,4.93,5.92,4.93,5.92,7400.0,247268.0,25000000.0,0.000296
2016-08-19,6.51,6.51,6.51,6.51,500.0,18420.0,25000000.0,2e-05
2016-08-22,7.16,7.16,7.16,7.16,2900.0,117508.0,25000000.0,0.000116
2016-08-23,7.88,7.88,7.88,7.88,1100.0,49027.0,25000000.0,4.4e-05
2016-08-24,8.67,8.67,8.67,8.67,4600.0,225538.0,25000000.0,0.000184
2016-08-25,9.53,9.53,9.53,9.53,7160.0,386139.0,25000000.0,0.0002864
2016-08-26,10.49,10.49,10.49,10.49,5500.0,326260.0,25000000.0,0.00022
2016-08-29,11.53,11.53,11.53,11.53,14033.0,915653.0,25000000.0,0.00056132
2016-08-30,12.69,12.69,12.69,12.69,15119.0,1085242.0,25000000.0,0.00060476
2016-08-31,13.96,13.96,13.96,13.96,28064.0,2215933.0,25000000.0,0.00112256
2016-09-01,15.35,15.35,15.35,15.35,12812.0,1112850.0,25000000.0,0.00051248
2016-09-02,16.89,16.89,16.89,16.89,69312.0,6622762.0,25000000.0,0.00277248
2016-09-05,18.58,18.58,18.58,18.58,69519.0,7307142.0,25000000.0,0.00278076
2016-09-06,20.44,20.44,20.44,20.44,54608.0,6313777.0,25000000.0,0.00218432
2016-09-07,22.48,22.48,22.48,22.48,136628.0,17376349.0,25000000.0,0.00546512
2016-09-08,24.73,24.73,24.73,24.73,174488.0,24410871.0,25000000.0,0.00697952
2016-09-09,27.2,27.2,27.2,27.2,181192.0,27883637.0,25000000.0,0.00724768
2016-09-12,29.92,29.92,29.92,29.92,4883134.0,826616924.0,25000000.0,0.19532536
2016-09-13,32.49,32.49,29.76,30.29,15950837.0,2822922757.0,25000000.0,0.63803348
2016-09-14,31.3,33.32,31.29,31.46,10410979.0,1887215105.0,25000000.0,0.41643916
2017-03-13,34.61,34.61,34.61,34.61,1811883.0,354712335.0,25000000.0,0.07247532
2017-03-14,38.07,38.07,38.07,38.07,103845.0,22363021.0,25000000.0,0.0041538
2017-03-15,41.87,41.87,40.66,41.87,5519637.0,1307287943.0,25000000.0,0.22078548
2017-03-16,42.4,45.05,41.19,43.46,8970852.0,2174609317.0,25000000.0,0.35883408
2017-03-17,43.04,43.22,39.12,39.73,7241095.0,1682976488.0,25000000.0,0.2896438
2017-03-20,38.91,40.26,37.78,38.16,3882614.0,849272194.0,25000000.0,0.15530456
2017-03-21,38.34,39.67,38.18,38.37,3291057.0,721964623.0,25000000.0,0.13164228
2017-03-22,37.65,40.76,37.47,40.39,4676096.0,1049851256.0,25000000.0,0.18704384
2017-03-23,40.39,40.76,36.35,36.37,5391841.0,1160365269.0,25000000.0,0.21567364
2017-03-24,35.88,37.45,35.88,36.49,2600268.0,539901212.0,25000000.0,0.10401072
2017-03-27,37.24,40.13,36.94,38.08,3309687.0,720911323.0,25000000.0,0.13238748
2017-03-28,38.08,40.83,37.54,39.79,3836332.0,859548557.0,25000000.0,0.15345328
2017-03-29,39.05,39.07,36.9,38.04,3015780.0,650137376.0,25000000.0,0.1206312
2017-03-30,38.89,40.13,38.16,39.57,3084139.0,684035567.0,25000000.0,0.12336556
2017-03-31,38.89,39.75,36.59,37.14,3051886.0,655617967.0,25000000.0,0.12207544
2017-04-05,36.22,37.1,34.82,36.42,2328810.0,473886137.0,25000000.0,0.0931524
2017-04-06,36.68,37.26,35.89,37.05,1600767.0,332613631.0,25000000.0,0.06403068
2017-04-07,36.77,39.38,36.24,38.01,2397155.0,517083882.0,25000000.0,0.0958862
2017-04-10,37.39,37.65,34.82,36.07,2578983.0,527932712.0,25000000.0,0.10315932
2017-04-12,34.82,35.34,32.46,32.46,3441848.0,648172750.0,25000000.0,0.13767392
2017-04-13,31.8,33.0,31.38,31.73,1531294.0,279153329.0,25000000.0,0.06125176
2017-04-14,31.74,32.14,31.17,31.45,829829.0,147937034.0,25000000.0,0.03319316
2017-04-17,29.17,31.66,29.17,31.56,1246005.0,217375017.0,25000000.0,0.0498402
2017-04-18,31.46,32.7,31.05,31.21,734313.0,132646213.0,25000000.0,0.02937252
2017-04-19,31.46,32.26,30.29,32.08,1086105.0,194274873.0,25000000.0,0.0434442
2017-04-20,32.0,32.65,31.31,31.83,969690.0,176309666.0,25000000.0,0.0387876
2017-04-21,32.34,32.34,30.56,30.92,825821.0,145637209.0,25000000.0,0.03303284
2017-04-24,30.6,31.38,29.74,30.93,652624.0,112914411.0,25000000.0,0.02610496
2017-04-25,30.93,31.46,30.66,30.86,584756.0,102675628.0,25000000.0,0.02339024
2017-04-26,30.66,33.95,30.66,33.94,1902638.0,352270582.0,25000000.0,0.07610552
2017-04-27,33.78,35.0,32.56,34.47,1352721.0,258467744.0,25000000.0,0.05410884
2017-04-28,35.88,36.71,34.86,35.01,2019949.0,408761310.0,25000000.0,0.08079796
2017-05-02,35.35,35.8,34.66,35.1,917609.0,182669698.0,25000000.0,0.03670436
2017-05-03,35.0,35.69,32.71,33.83,1285079.0,247491730.0,25000000.0,0.05140316
2017-05-04,33.78,33.94,33.18,33.48,644012.0,122265883.0,25000000.0,0.02576048
2017-05-05,33.49,34.03,33.04,33.58,797932.0,151315428.0,25000000.0,0.03191728
2017-05-08,33.37,35.17,33.23,34.25,1188175.0,231385209.0,25000000.0,0.047527
2017-05-09,33.98,36.41,33.98,36.15,1748914.0,351449898.0,25000000.0,0.06995656
2017-05-10,35.98,37.32,35.21,35.65,1519638.0,311741818.0,25000000.0,0.06078552
2017-05-11,35.35,36.55,35.0,36.31,1159576.0,235332641.0,25000000.0,0.04638304
2017-05-12,36.33,36.58,33.5,34.41,2154871.0,422861431.0,25000000.0,0.08619484
2017-05-15,34.29,34.38,32.41,33.41,1351616.0,253539816.0,25000000.0,0.05406464
2017-05-16,33.73,35.24,32.79,35.17,1118438.0,215054625.0,25000000.0,0.04473752
2017-05-17,35.0,37.29,33.57,35.37,1825485.0,372495059.0,25000000.0,0.0730194
2017-05-18,35.04,35.87,34.65,35.23,1078691.0,215279771.0,25000000.0,0.04314764
2017-05-19,35.35,35.35,33.78,34.47,1163830.0,226571983.0,25000000.0,0.0465532
2017-05-22,34.66,35.38,33.55,33.62,1027524.0,99369888.0,25000000.0,0.04110096
2017-05-23,32.5,33.14,30.89,31.12,3055996.0,275853545.0,50000000.0,0.06111992
2017-05-24,30.84,32.04,30.63,31.59,1303979.0,115692254.0,50000000.0,0.02607958
2017-05-25,31.76,32.54,31.44,32.2,1597037.0,144441002.0,50000000.0,0.03194074
2017-05-26,32.03,32.26,30.95,31.4,1344119.0,119948794.0,50000000.0,0.02688238
2017-05-31,32.32,33.07,31.03,31.11,2498552.0,226493915.0,50000000.0,0.04997104
2017-06-01,31.01,32.17,30.84,30.96,1607090.0,143461984.0,50000000.0,0.0321418
2017-06-02,30.59,31.87,30.2,31.64,1623660.0,143152994.0,50000000.0,0.0324732
2017-06-05,32.01,33.02,31.9,31.99,1552737.0,141855665.0,50000000.0,0.03105474
2017-06-06,31.73,32.05,31.09,31.5,1520854.0,134970380.0,50000000.0,0.03041708
2017-06-07,31.61,32.71,31.61,32.48,2126700.0,193699058.0,50000000.0,0.042534
2017-06-08,32.26,32.68,30.84,31.28,2286847.0,205376136.0,50000000.0,0.04573694
2017-06-09,31.15,31.82,30.87,31.47,907395.0,80469814.0,50000000.0,0.0181479
2017-06-12,31.19,31.37,28.32,28.32,4678433.0,384502842.0,50000000.0,0.09356866
2017-06-13,28.01,28.54,26.94,28.33,3433176.0,269890927.0,50000000.0,0.06866352
2017-06-14,28.04,28.42,27.49,28.08,1863343.0,147511961.0,50000000.0,0.03726686
2017-06-15,27.75,29.67,27.75,29.31,2410957.0,196881404.0,50000000.0,0.04821914
2017-06-16,29.19,29.69,28.89,28.96,1217187.0,100035353.0,50000000.0,0.02434374
2017-06-19,29.28,29.74,29.04,29.34,983604.0,81549608.0,50000000.0,0.01967208
2017-06-20,29.74,30.03,29.16,29.71,1495052.0,124694227.0,50000000.0,0.02990104
2017-06-21,29.71,29.85,29.31,29.5,935518.0,77859894.0,50000000.0,0.01871036
2017-06-22,29.7,29.82,26.59,27.39,3251680.0,262014207.0,50000000.0,0.0650336
2017-06-23,27.25,27.6,26.65,27.42,1756224.0,134464035.0,50000000.0,0.03512448
2017-06-26,27.19,28.35,27.12,28.16,2124040.0,166912303.0,50000000.0,0.0424808
2017-06-27,28.02,28.36,27.8,27.9,1347057.0,106909740.0,50000000.0,0.02694114
2017-06-28,27.83,28.01,27.37,27.59,842336.0,65567338.0,50000000.0,0.01684672
2017-06-29,27.65,28.32,27.52,27.71,1333166.0,105285073.0,50000000.0,0.02666332
2017-06-30,27.58,27.95,27.31,27.58,1314533.0,102433345.0,50000000.0,0.02629066
2017-07-03,27.65,30.13,27.53,29.8,2953158.0,243386671.0,50000000.0,0.05906316
2017-07-04,29.78,30.16,29.31,29.46,1380534.0,115544305.0,50000000.0,0.02761068
