date,open,close,high,low,volume,amount
2020-01-02,1006.38,1027.16,1027.16,1006.38,593264.24,609377296.7584001
2020-01-03,1030.68,1037.76,1043.87,1030.68,659492.81,684395258.5056001
2020-01-06,1030.31,1034.82,1051.18,1029.4,654591.39,677384262.1998
2020-01-07,1034.91,1055.7,1055.99,1027.59,744588.35,786061921.095
2020-01-08,1045.94,1070.85,1073.52,1042.43,851687.45,912029505.8324999
2020-01-09,1079.8,1096.32,1103.29,1079.8,770751.69,844990492.7807999
2020-01-10,1100.58,1092.48,1111.92,1092.48,623616.55,681288608.544
2020-01-13,1090.19,1136.92,1136.92,1087.7,689903.05,784364575.6060001
2020-01-14,1135.54,1144.35,1168.49,1135.22,910564.96,1042005011.9759998
2020-01-15,1139.7,1150.13,1151.81,1130.49,677365.71,779058624.0423
2020-01-16,1152.32,1210.46,1218.95,1152.32,952028.11,1152391946.0306
2020-01-17,1215.99,1322.8,1338.18,1215.99,1469723.94,1944150827.8319998
2020-01-20,1321.17,1322.02,1370.43,1277.32,1332687.11,1761839013.1622002
2020-01-21,1314.62,1271.62,1329.02,1271.49,970868.22,1234575445.9164
2020-01-22,1249.91,1361.46,1361.46,1235.45,1177132.06,1602618214.4076002
2020-01-23,1327.5,1311.01,1388.67,1274.69,1059922.52,1389569022.9452
2020-02-03,1098.49,1100.28,1172.11,1098.49,1059824.81,1166104041.9468
2020-02-04,1131.29,1256.35,1256.35,1131.29,1148408.43,1442802931.0304997
2020-02-05,1268.01,1284.73,1353.02,1268.01,1276621.79,1640114312.2667
2020-02-06,1275.63,1328.09,1338.59,1275.63,1083949.83,1439582929.7247
2020-02-07,1332.48,1442.8,1442.8,1332.48,1416841.88,2044219464.4639997
2020-02-10,1448.31,1437.78,1476.3,1414.9,1285068.27,1847645457.2406
2020-02-11,1431.43,1415.88,1442.8,1387.63,1022480.65,1447709902.7220001
2020-02-12,1402.61,1496.88,1513.61,1402.61,1164015.86,1742392060.5168002
2020-02-13,1510.69,1516.2,1582.6,1495.96,1417410.16,2149077284.592
2020-02-14,1515.75,1467.06,1549.86,1440.7,1292037.97,1895497224.2682
2020-02-17,1477.8,1514.48,1514.48,1474.4,1033319.57,1564941822.3736
2020-02-18,1509.94,1542.37,1546.1,1509.94,1077157.93,1661376076.4940999
2020-02-19,1535.21,1497.77,1546.72,1497.77,1047118.35,1568342451.0795
2020-02-20,1502.05,1457.35,1520.51,1421.08,1000007.13,1457360390.9055
2020-02-21,1446.06,1461.89,1497.57,1446.06,844313.05,1234292804.6645002
2020-02-24,1451.9,1469.73,1478.72,1430.48,907371.4,1333590967.7220001
2020-02-25,1422.74,1482.34,1496.62,1422.74,968692.16,1435931136.4544
2020-02-26,1460.81,1377.18,1476.04,1375.75,978587.69,1347691394.9142
2020-02-27,1381.63,1350.98,1381.63,1327.7,779954.78,1053703308.6844001
2020-02-28,1277.02,1259.35,1308.04,1254.18,843504.77,1062267732.0995
2020-03-02,1279.02,1324.06,1334.4,1260.17,699081.18,925625427.1908001
2020-03-03,1349.84,1362.47,1427.97,1347.74,824535.06,1123404283.1982
2020-03-04,1342.69,1310.29,1347.3,1279.22,622510.36,815669099.6043999
2020-03-05,1336.67,1315.66,1338.24,1291.65,563027.35,740752563.301
2020-03-06,1294.14,1285.89,1298.93,1279.1,425600.21,547275054.0369
2020-03-09,1254.76,1197.46,1267.11,1197.46,578390.17,692599092.9682001
2020-03-10,1174.77,1259.34,1259.34,1166.98,697750.61,878705253.1974
2020-03-11,1262.33,1213.87,1276.61,1213.87,576017.67,699210569.0829
2020-03-12,1192.38,1207.85,1219.08,1189.13,438571.36,529728417.17599994
2020-03-13,1144.56,1237.65,1252.6,1144.56,672795.8,832685721.8700001
2020-03-16,1252.07,1176.56,1264.81,1176.56,634056.8,746005868.608
2020-03-17,1200.86,1211.27,1221.61,1151.94,554989.95,672242676.7364999
2020-03-18,1229.16,1194.51,1259.52,1194.51,619729.51,740273096.9901
2020-03-19,1197.16,1221.68,1225.51,1176.86,531444.39,649254982.3752
2020-03-20,1231.66,1211.29,1242.4,1199.33,409231.89,495698496.0381
2020-03-23,1171.15,1103.05,1171.67,1098.5,539924.66,595563896.213
2020-03-24,1134.09,1124.2,1135.55,1072.85,433604.03,487457650.526
2020-03-25,1165.35,1165.41,1181.24,1157.29,424274.82,494454117.97620004
2020-03-26,1156.35,1158.12,1178.67,1151.23,310138.15,359177194.278
2020-03-27,1174.66,1137.56,1174.66,1136.99,271245.22,308557712.4632
2020-03-30,1112.05,1078.92,1112.05,1058.2,412706.52,445277318.55840003
2020-03-31,1096.29,1077.07,1108.47,1074.14,301278.39,324497915.5173
2020-04-01,1069.28,1090.86,1116.29,1069.28,357170.59,389623109.8074
2020-04-02,1085.8,1169.75,1169.75,1085.8,456264.16,533715001.15999997
2020-04-03,1161.59,1148.17,1165.05,1140.67,336342.06,386177863.0302
2020-04-07,1183.13,1181.31,1196.43,1178.28,353194.86,417232620.06659997
2020-04-08,1173.58,1171.17,1186.18,1165.76,274346.47,321306355.26989996
2020-04-09,1175.7,1160.72,1178.1,1155.3,260848.69,302772291.4568
2020-04-10,1160.68,1103.44,1160.68,1097.13,350826.75,387116269.02000004
2020-04-13,1093.67,1089.78,1103.74,1085.59,215604.23,234961177.7694
2020-04-14,1098.46,1124.85,1124.85,1098.46,233777.84,262965003.32399997
2020-04-15,1128.62,1143.27,1161.49,1128.62,284906.45,325724997.0915
2020-04-16,1134.45,1148.39,1157.77,1133.08,224980.33,258365161.1687
2020-04-17,1162.18,1180.75,1197.86,1162.18,412360.78,486894990.985
2020-04-20,1180.01,1192.23,1192.42,1172.02,257021.3,306428504.499
2020-04-21,1186.77,1174.46,1186.77,1163.04,260988.98,306521117.4508
2020-04-22,1164.99,1199.55,1199.55,1164.99,324522.11,389280497.0505
2020-04-23,1208.09,1213.13,1222.23,1200.82,412515.81,500435304.5853
2020-04-24,1212.22,1211.68,1223.48,1205.45,398463.74,482810544.4832
2020-04-27,1205.72,1200.34,1209.27,1198.77,303991.35,364892977.05899996
