date,open,close,high,low,volume,amount
2005-05-24,861.2,868.46,871.77,855.59,9206929.0,7995849559.34
2005-05-25,867.66,868.45,876.31,861.66,7238556.0,6286323958.200001
2005-05-26,867.76,857.33,872.84,854.96,6622786.0,5677913121.38
2005-05-27,855.6,849.51,864.96,848.4,7749983.0,6583688058.33
2005-05-30,847.63,855.61,858.46,842.1,6971583.0,5964956130.63
2005-05-31,856.56,855.95,863.2,853.29,7047821.0,6032582384.950001
2005-06-01,855.21,837.53,857.66,836.04,7902302.0,6618414994.059999
2005-06-02,835.47,818.38,835.49,812.99,9508657.0,7781694715.66
2005-06-03,816.55,818.03,823.86,807.97,7936056.0,6491931889.679999
2005-06-06,816.73,839.0,839.15,807.78,9009185.0,7558706215.0
2005-06-07,841.58,837.28,858.09,835.18,13067068.0,10940794695.039999
2005-06-08,848.54,905.77,908.83,844.47,32907839.0,29806933331.03
2005-06-09,907.57,912.6,925.37,895.04,33141840.0,30245243184.0
2005-06-10,911.94,894.56,911.94,889.1,22391502.0,20030542029.12
2005-06-13,895.0,892.96,900.18,877.69,15628002.0,13955180665.92
2005-06-14,895.39,883.54,905.42,882.86,14343570.0,12673117837.8
2005-06-15,881.21,866.83,881.25,865.14,11454056.0,9928719362.48
2005-06-16,866.66,879.24,879.49,861.83,11049685.0,9715325039.4
2005-06-17,883.61,880.35,888.08,876.04,14963009.0,13172684973.15
2005-06-20,881.62,906.26,906.48,872.56,18992082.0,17211764233.32
2005-06-21,906.31,896.17,906.31,894.39,12774784.0,11448378177.279999
2005-06-22,894.77,900.65,901.24,891.93,10478134.0,9437131387.1
2005-06-23,900.06,893.57,904.9,892.83,9509308.0,8497232349.56
2005-06-24,892.06,898.3,898.67,888.4,8918739.0,8011703243.7
2005-06-27,904.21,916.04,920.65,904.21,16545402.0,15156250048.08
2005-06-28,913.48,903.72,913.48,901.21,10402219.0,9400693354.68
2005-06-29,906.75,898.9,907.57,898.08,10806746.0,9714183979.4
2005-06-30,897.1,878.69,897.1,876.88,10855472.0,9538594691.68
2005-07-01,875.94,859.49,875.94,858.37,10094596.97,8676205149.7453
2005-07-04,855.32,855.93,856.1,842.81,8840276.53,7566657890.322899
2005-07-05,853.68,849.68,856.74,845.36,7992688.38,6791227462.718399
2005-07-06,850.25,842.56,854.45,838.61,6898313.92,5812243376.4352
2005-07-07,841.75,844.73,848.02,839.28,5962464.91,5036672983.4243
2005-07-08,842.62,829.49,842.62,827.23,7221000.42,5989747638.3858
2005-07-11,837.86,824.1,850.66,822.52,8439005.54,6954584465.513999
2005-07-12,821.91,851.82,854.29,818.86,14989870.66,12768671625.6012
2005-07-13,850.47,846.23,851.95,841.86,9398842.17,7953582209.5191
2005-07-14,844.94,849.59,856.1,843.18,9361968.01,7953834401.6159
2005-07-15,849.87,841.0,854.6,837.78,8889563.39,7476122810.990001
2005-07-18,839.22,833.0,840.01,829.68,8500006.37,7080505306.209999
2005-07-19,831.5,835.61,840.14,829.28,7891817.79,6594481863.5019
2005-07-20,835.3,842.64,844.71,832.14,8526473.08,7184747276.1312
2005-07-21,842.75,843.99,843.99,835.76,8366100.97,7060905557.6703
2005-07-22,847.54,859.69,867.17,842.99,21630976.13,18595933869.1997
2005-07-25,858.33,856.86,860.95,854.28,11816079.69,10124726043.173399
2005-07-26,856.19,876.48,880.03,856.19,21826775.91,19130732549.5968
2005-07-27,876.94,894.01,894.03,876.04,20409537.28,18246330423.692802
2005-07-28,893.88,890.89,901.0,888.5,20622527.06,18372403132.4834
2005-07-29,889.41,888.16,892.29,883.38,13397405.98,11899040095.1968
2005-08-01,887.72,891.61,897.29,885.85,11808309.18,10528406547.9798
2005-08-02,892.13,903.6,903.65,888.4,14292547.43,12914745857.748
2005-08-03,905.18,909.57,919.28,903.76,25786298.07,23454443135.529903
2005-08-04,907.42,904.15,909.83,901.63,14519255.6,13127584950.74
2005-08-05,904.04,923.8,923.81,903.94,19123764.73,17666533857.574
2005-08-08,926.57,927.47,933.15,923.57,21608944.3,20041647569.921
2005-08-09,926.97,933.09,933.39,919.11,19532907.46,18225960621.851402
2005-08-10,933.26,940.37,940.37,926.28,21515762.51,20232777591.5287
2005-08-11,940.79,953.99,953.99,939.39,27073666.44,25828007047.0956
2005-08-12,954.72,938.32,959.27,933.99,29168144.35,27369053206.492004
2005-08-15,937.71,954.5,954.5,936.11,20430813.47,19501211457.114998
2005-08-16,955.27,945.06,959.34,939.92,23861817.91,22550849634.024597
2005-08-17,943.41,953.01,953.34,930.33,21457768.65,20449468101.136497
2005-08-18,954.16,920.67,956.84,919.12,31855326.58,29328243522.408596
2005-08-19,918.09,923.04,927.32,910.08,22242679.4,20530882793.376
2005-08-22,923.11,931.67,933.35,919.22,16031009.73,14935610835.1491
2005-08-23,931.81,923.41,931.81,915.03,15406488.15,14226505222.5915
2005-08-24,923.56,930.65,935.23,923.56,15959747.47,14852938982.9555
2005-08-25,930.98,930.12,933.2,920.61,16292057.02,15153568075.4424
2005-08-26,930.25,928.26,930.33,921.84,15429803.61,14322869499.018599
