date,open,close,high,low,volume,turnover,amount
2026-09-23,460.13,451.2,462.0,449.02,22723500.0,0.0181,10295197500.0
2026-09-24,451.26,435.0,452.89,435.0,25015000.0,0.0199,11072857500.0
