date,open,close,high,low,volume,turnover,amount
2017-06-15,4.07,5.18,5.18,4.07,15401.0,0.0003,102300.0
2017-06-16,5.85,5.85,5.85,5.85,5176.0,0.0001,38000.0
2017-06-19,6.59,6.59,6.59,6.59,4800.0,0.0001,38800.0
2017-06-20,7.4,7.4,7.4,7.4,3108.0,0.0001,27700.0
2017-06-21,8.29,8.29,8.29,8.29,8926.0,0.0002,87400.0
2017-06-22,9.27,9.27,9.27,9.27,34704.0,0.0006,373800.0
2017-06-23,10.35,10.35,10.35,10.35,44678.0,0.0008,529400.0
2017-06-26,11.54,11.54,11.54,11.54,50054.0,0.0009,652700.0
2017-06-27,12.84,12.84,12.84,12.84,115256.0,0.0021,1652800.0
2017-06-28,14.27,14.27,14.27,14.27,152002.0,0.0028000000000000004,2397100.0
2017-06-29,15.85,15.85,15.85,15.85,127151.0,0.0023,2206100.0
2017-06-30,17.59,17.59,17.59,17.59,239792.99999999997,0.0044,4577600.0
2017-07-03,19.5,19.5,19.5,19.5,338828.0,0.0062,7115400.0
2017-07-04,21.6,21.6,21.6,21.6,603481.0,0.011000000000000001,13940400.0
2017-07-05,23.91,23.91,23.91,23.91,1145052.0,0.0209,29095800.0
2017-07-06,26.45,26.45,26.45,26.45,464172.99999999994,0.0085,12973599.999999998
2017-07-07,29.25,29.25,29.25,29.25,7850392.0,0.1435,241399600.0
2017-07-10,30.9,27.98,30.9,27.6,31974187.0,0.5846,982818200.0000001
2017-07-11,27.49,25.9,28.27,25.4,20952947.0,0.3831,587487600.0
2017-07-12,26.2,27.34,27.83,25.42,18265817.0,0.33399999999999996,514732400.0
2017-07-13,26.87,25.0,27.07,24.82,14243996.0,0.2605,387852100.0
2017-07-14,24.61,24.66,25.7,24.51,7751291.0,0.1417,205630000.0
2017-07-17,23.4,22.04,23.93,22.04,12052517.0,0.22039999999999998,292309000.0
2017-07-18,21.85,22.01,22.72,21.53,8370486.0,0.1531,198751800.0
2017-07-19,21.5,23.3,24.36,20.85,16384288.0,0.29960000000000003,406959700.0
2017-07-20,24.12,25.78,25.78,24.1,23256961.0,0.4253,625855300.0
2017-07-21,24.52,23.59,24.99,23.59,17937480.0,0.32799999999999996,463717300.00000006
2017-07-24,23.6,26.1,26.1,23.02,15034723.000000002,0.2749,392725600.0
2017-07-25,26.17,26.99,28.78,25.42,25462093.0,0.4656,723331700.0
2017-07-26,27.3,29.36,29.78,26.61,22149725.0,0.405,664867300.0
2017-07-27,28.8,32.05,32.45,27.71,24748535.0,0.4525,782964400.0
2017-07-28,31.58,30.4,32.18,29.85,18157383.0,0.332,590481600.0
2017-07-31,30.21,30.26,31.48,29.91,13339403.0,0.2439,428858800.0
2017-08-01,29.28,27.58,29.28,27.08,17179174.0,0.3141,509125199.99999994
2017-08-02,27.5,28.15,28.63,27.32,11649540.0,0.213,344094200.0
2017-08-03,27.65,26.9,28.78,26.8,10129568.0,0.1852,296121200.0
2017-08-04,26.59,25.65,27.21,25.55,9470689.0,0.1732,263921100.0
2017-08-07,25.71,26.88,27.07,25.7,8136832.000000001,0.14880000000000002,228948400.0
2017-08-08,26.5,28.51,29.29,26.0,13849025.0,0.2532,406204700.0
2017-08-09,28.5,28.26,29.82,27.85,10702149.0,0.1957,325396100.0
2017-08-10,28.26,29.06,29.66,27.52,12105757.0,0.2214,365887400.0
2017-08-11,28.5,28.5,29.92,28.28,9087858.0,0.16620000000000001,277349100.0
2017-08-14,28.41,28.55,29.65,28.0,9338328.0,0.17079999999999998,284224700.0
2017-08-15,28.22,30.22,30.22,28.18,11315756.0,0.2069,345458200.0
2017-08-16,29.7,29.94,30.99,29.41,11697807.0,0.2139,370327699.99999994
2017-08-17,29.46,28.63,30.19,28.5,9949538.0,0.1819,306418300.0
2017-08-18,28.07,28.22,28.79,27.95,6271948.0,0.11470000000000001,186817800.0
2017-08-21,28.93,29.7,29.97,28.69,9021691.0,0.165,278983400.0
2017-08-22,29.4,29.06,29.82,28.81,7173430.0,0.13119999999999998,220577800.0
2017-08-23,28.67,32.12,32.12,28.66,11570025.0,0.2116,371390800.0
2017-08-24,32.45,31.77,35.14,31.51,19863819.0,0.3632,685477000.0
2017-08-25,31.14,32.78,33.89,30.39,14473093.0,0.2646,486824800.00000006
2017-08-28,32.4,34.07,34.99,31.83,14087060.999999998,0.2576,492889900.0
2017-08-29,33.5,32.48,34.93,32.19,12600076.0,0.2304,443597000.0
2017-08-30,31.5,31.4,32.74,31.25,8549806.0,0.1563,284533400.0
2017-08-31,31.66,32.51,32.67,31.66,7357575.999999999,0.13449999999999998,248315900.0
2017-09-01,33.0,32.25,33.46,31.07,10719581.0,0.196,359294300.0
2017-09-04,31.83,34.5,35.63,31.48,14404862.0,0.2634,511966400.0
2017-09-05,34.0,35.87,37.0,33.57,14486882.0,0.26489999999999997,537861000.0
2017-09-06,35.18,35.49,36.63,34.86,10542753.0,0.1928,391552800.0
2017-09-07,35.5,35.45,37.78,35.35,13084344.0,0.23920000000000002,496755199.99999994
2017-09-08,35.13,34.3,35.3,34.0,9855721.0,0.1802,353971600.00000006
2017-09-11,34.11,34.58,35.0,34.0,5537626.0,0.1013,200161000.0
2017-09-12,34.55,34.96,35.1,34.02,7133816.0,0.1304,257219400.0
2017-09-13,34.53,35.38,36.1,34.53,5896933.0,0.10779999999999999,217569300.0
2017-09-14,35.1,33.79,35.46,33.5,7742110.000000001,0.1416,278015100.0
2017-09-15,33.55,32.5,34.07,32.23,5923957.0,0.10830000000000001,204651600.0
2017-09-18,32.28,32.88,33.07,32.28,3042988.0,0.0556,104540400.00000001
2017-09-19,33.47,33.07,33.99,32.5,4333677.0,0.07919999999999999,151171600.0
2017-09-20,33.55,36.53,36.53,33.53,12093956.0,0.2211,446897900.0
2017-09-21,39.5,40.33,40.33,38.48,9596896.0,0.17550000000000002,396226100.0
2017-09-22,41.5,44.51,44.51,40.5,16889340.0,0.30879999999999996,743072000.0
2017-09-25,47.48,46.4,49.11,45.71,22052466.0,0.4032,1074714700.0
2017-09-26,44.71,44.5,45.0,42.5,16572035.999999998,0.303,751780399.9999999
2017-09-27,44.61,44.56,46.46,43.87,13749349.0,0.2514,642672100.0
2017-09-28,42.51,47.23,48.47,42.26,17773433.0,0.325,839291799.9999999
2017-09-29,45.9,45.91,47.45,45.01,11776181.0,0.21530000000000002,561188500.0
2017-10-09,46.5,48.68,50.39,44.24,14643032.999999998,0.2677,719721700.0
2017-10-10,47.95,49.94,52.0,47.0,12391812.0,0.2266,628217900.0
2017-10-11,48.7,47.6,53.99,47.46,15283548.000000002,0.27949999999999997,801762200.0
2017-10-12,46.51,48.38,50.0,46.51,9634761.0,0.17620000000000002,480702100.0
2017-10-13,48.63,47.13,49.06,46.86,6814161.0,0.1246,334400400.0
2017-10-16,45.98,44.11,47.18,43.96,8594846.0,0.1572,401776200.0
2017-10-17,44.59,45.61,46.0,43.8,5549794.0,0.1015,259627400.00000003
2017-10-18,45.6,49.8,50.32,45.5,14971643.0,0.2738,762405300.0
2017-10-19,49.5,49.77,50.55,47.88,9826155.0,0.1797,500759900.0
2017-10-20,49.6,48.35,50.2,47.5,7747466.0,0.1417,386648600.0
2017-10-23,48.01,51.08,52.0,48.0,9649338.0,0.1764,502910400.0
2017-10-24,50.22,51.62,53.14,49.94,8993707.0,0.16440000000000002,476416400.0
2017-10-25,51.3,51.49,52.06,50.6,5912205.0,0.1081,311356200.0
2017-10-26,51.95,54.9,56.5,51.85,11039930.0,0.20190000000000002,617959200.0
2017-10-27,54.64,53.48,57.38,52.9,12956191.0,0.2369,730152300.0
2017-10-30,52.39,54.69,56.26,51.51,10013215.0,0.18309999999999998,555500400.0
2017-10-31,54.3,60.31,60.31,53.9,12603477.0,0.2305,742089200.0
2017-11-01,61.5,62.48,64.09,59.0,14053475.0,0.257,884883800.0
2017-11-02,61.5,61.31,65.67,61.3,13241314.000000002,0.2421,856152500.0
2017-11-03,60.78,63.15,63.7,60.5,10587472.0,0.1936,673714800.0
2017-11-06,65.3,69.62,69.62,64.0,11751360.0,0.21489999999999998,807861200.0
2017-11-07,70.34,70.29,72.15,67.6,12750003.0,0.23309999999999997,906956300.0
2017-11-08,68.5,69.48,72.3,68.3,9851514.0,0.1801,706890800.0
2017-11-09,68.5,68.54,70.54,67.53,8416336.0,0.1539,592411200.0
2017-11-10,68.62,71.43,73.5,68.62,10357028.0,0.1894,758688000.0
2017-11-13,72.3,78.72,78.72,71.3,10793755.0,0.1974,833744800.0
2017-11-14,78.18,81.02,86.68,77.71,17853493.0,0.3264,1494777300.0
2017-11-23,75.5,72.77,79.77,72.77,11873062.0,0.21710000000000002,919256100.0
