date,open,close,high,low,volume,turnover,amount
2023-02-13,112.71,119.03,120.12,110.07,1415741.0,0.0513,364658600.0
2023-02-14,118.47,117.38,121.4,115.09,853074.0,0.030899999999999997,221656400.0
2023-02-15,117.84,126.06,128.57,117.84,1372671.0,0.049800000000000004,374231800.0
2023-02-16,125.08,123.77,131.08,122.4,1212955.0,0.044000000000000004,340190000.0
2023-02-17,122.52,117.93,124.89,117.84,993375.0,0.036000000000000004,262878100.0
2023-02-20,117.32,118.94,119.48,115.86,744631.0,0.027000000000000003,193777200.0
2023-02-21,118.07,122.46,122.88,118.07,822461.0,0.0298,219247200.0
2023-02-22,122.2,126.35,129.71,119.73,962440.0,0.0349,268864100.0
2023-02-23,125.28,118.91,125.51,117.84,1341837.0,0.048600000000000004,357212400.0
2023-02-24,119.21,118.75,120.81,116.92,734481.0,0.026600000000000002,192752700.0
2023-02-27,121.03,118.02,123.77,117.57,1128514.0,0.0409,298991300.0
2023-02-28,118.29,116.42,119.43,114.55,839889.0,0.0304,215802400.00000003
2023-03-01,116.01,116.6,117.61,112.35,943144.0,0.0342,239872900.0
2023-03-02,116.91,119.17,121.49,116.12,830444.0,0.0301,217567000.0
2023-03-03,121.95,122.08,127.09,118.41,1881185.0,0.0682,512611100.0
2023-03-06,123.64,130.98,131.45,120.45,1620165.0,0.0587,454925500.0
2023-03-07,128.68,125.09,130.89,124.41,959922.0,0.0348,269796900.0
2023-03-08,125.15,127.07,131.08,125.09,1174360.0,0.0426,331241200.0
2023-03-09,127.53,133.6,137.94,127.45,1443498.0,0.052300000000000006,423343100.0
2023-03-10,131.54,137.82,142.05,129.5,1445341.0,0.0524,435162200.0
2023-03-13,136.21,140.06,140.68,134.74,967147.0,0.0351,294222100.0
2023-03-14,139.93,144.06,147.48,137.63,1470170.0,0.0533,461977500.0
2023-03-15,143.88,137.94,144.06,134.37,2154080.0,0.0781,657224100.0
2023-03-16,136.28,130.41,137.52,129.76,2044258.0,0.0741,599661100.0
2023-03-17,131.82,133.21,135.2,130.81,1705268.0,0.061799999999999994,500407600.0
2023-03-20,132.01,129.76,134.97,126.97,1744645.0,0.0632,503211800.0
2023-03-21,129.59,131.56,132.46,127.44,1135863.0,0.0412,326120700.0
2023-03-22,131.57,126.2,132.46,124.46,1790302.0,0.0649,502170300.0
2023-03-23,125.6,125.37,127.37,122.4,1599056.0,0.057999999999999996,439438600.0
2023-03-24,125.15,120.12,125.15,119.26,1659178.0,0.0601,444165500.0
2023-03-27,120.17,119.14,121.95,116.4,1440757.0,0.052199999999999996,377919400.0
2023-03-28,118.75,114.55,119.14,114.18,1196745.0,0.0434,306650000.0
2023-03-29,115.46,126.49,130.71,115.39,2506291.0,0.0908,679897100.0000001
